Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E37UKA0NXSI6UL,9/1/17 0:00,10/1/17 0:00,974009437
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2T40NAK0USO52,9/1/17 0:00,10/1/17 0:00,16092071845
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E7DQB1FN3TLLO,9/1/17 0:00,10/1/17 0:00,16
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/EPY0LH55N8GEW,9/1/17 0:00,10/1/17 0:00,10440494564
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E5KH36MBXUNG8,9/1/17 0:00,10/1/17 0:00,1362
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,525964
AmazonCloudFront,GET,CA-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/EZ0DMKQRCGWBX,9/1/17 0:00,10/1/17 0:00,230952551
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E375MH6ZAY37VJ,9/1/17 0:00,10/1/17 0:00,13354035902
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E38UUP5T1LQ073,9/1/17 0:00,10/1/17 0:00,7980
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/ETZYSUTH0ZF3O,9/1/17 0:00,10/1/17 0:00,24262776352
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E375MH6ZAY37VJ,9/1/17 0:00,10/1/17 0:00,1191
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E37UKA0NXSI6UL,9/1/17 0:00,10/1/17 0:00,76
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EEQTC9TPA4L25,9/1/17 0:00,10/1/17 0:00,3611387633
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/EPY0LH55N8GEW,9/1/17 0:00,10/1/17 0:00,715
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E7DQB1FN3TLLO,9/1/17 0:00,10/1/17 0:00,7517
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E7DQB1FN3TLLO,9/1/17 0:00,10/1/17 0:00,7517
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EPY0LH55N8GEW,9/1/17 0:00,10/1/17 0:00,715
AmazonCloudFront,GET,CA-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EZ0DMKQRCGWBX,9/1/17 0:00,10/1/17 0:00,230952551
